2025-01-29 00:20:53.944 [info] Experiment 'pythonRecommendTensorboardExt' is active
2025-01-29 00:20:53.944 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2025-01-29 00:20:53.944 [info] Experiment 'pythonTestAdapter' is active
2025-01-29 00:20:53.944 [info] Native locator: Refresh started
2025-01-29 00:20:53.944 [info] Native locator: Refresh started
2025-01-29 00:20:53.944 [info] > pyenv which python
2025-01-29 00:20:53.944 [info] cwd: .
2025-01-29 00:20:57.516 [info] Python interpreter path: ./venv/bin/python
2025-01-29 00:20:57.776 [info] > . ./venv/bin/activate.fish && echo 'e8b39361-0157-4923-80e1-22d70d46dee6' && python ~/.vscode/extensions/ms-python.python-2024.22.2-linux-x64/python_files/printEnvVariables.py
2025-01-29 00:20:57.776 [info] shell: fish
2025-01-29 00:20:57.825 [info] Native locator: Refresh finished in 5262 ms
2025-01-29 00:20:57.844 [info] > /bin/python ~/.vscode/extensions/ms-python.python-2024.22.2-linux-x64/python_files/printEnvVariables.py
2025-01-29 00:20:57.844 [info] shell: fish
2025-01-29 00:20:57.914 [info] Setting environment variable VIRTUAL_ENV_PROMPT in collection to venv {"applyAtShellIntegration":true,"applyAtProcessCreation":true}
2025-01-29 00:20:57.914 [info] Setting environment variable _OLD_FISH_PROMPT_OVERRIDE in collection to /home/zefixed/Documents/python/lzparser/venv {"applyAtShellIntegration":true,"applyAtProcessCreation":true}
2025-01-29 00:20:57.914 [info] Prepending environment variable PATH in collection with /home/zefixed/.vscode/extensions/ms-python.python-2024.22.2-linux-x64/python_files/deactivate/fish:/home/zefixed/Documents/python/lzparser/venv/bin: {"applyAtShellIntegration":true,"applyAtProcessCreation":true}
2025-01-29 00:20:57.914 [info] Setting environment variable VIRTUAL_ENV in collection to /home/zefixed/Documents/python/lzparser/venv {"applyAtShellIntegration":true,"applyAtProcessCreation":true}
2025-01-29 00:20:57.915 [info] Send text to terminal: /bin/python /home/zefixed/.vscode/extensions/ms-python.python-2024.22.2-linux-x64/python_files/printEnvVariablesToFile.py /home/zefixed/.vscode/extensions/ms-python.python-2024.22.2-linux-x64/python_files/deactivate/fish/envVars.txt
2025-01-29 00:20:58.398 [info] Starting Pylance language server.
2025-01-29 00:22:39.180 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:22:40.267 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:24:19.674 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:25:43.698 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:28:01.382 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/getm3u8url.py
2025-01-29 00:28:06.139 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/getm3u8url.py
2025-01-29 00:28:41.829 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:30:08.838 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:30:49.928 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/getm3u8url.py
2025-01-29 00:30:54.885 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/getm3u8url.py
2025-01-29 00:30:59.976 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/getm3u8url.py
2025-01-29 00:31:27.978 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:31:31.115 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:31:37.321 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:32:57.428 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:35:29.204 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:36:27.622 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:36:58.546 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:37:21.232 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:38:31.885 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/downloadImage.py
2025-01-29 00:40:14.491 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/lzparser.py
2025-01-29 00:41:12.801 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/downloadImage.py
2025-01-29 00:41:28.350 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/downloadVideo.py
2025-01-29 00:41:36.579 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/downloadVideo.py
2025-01-29 00:41:47.775 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/downloadVideo.py
2025-01-29 00:41:55.035 [info] Discover tests for workspace name: lzparser - uri: /home/zefixed/Documents/python/lzparser/downloadImage.py
